date,time,sport,channel,comp,ht,at
2025-06-15,3:00PM,Basketball,Arena Sport 2 Premium RS,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
2025-06-15,3:00PM,Basketball,Cosmote Sport 4 GR,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
2025-06-15,3:00PM,Basketball,Diema Sport 2 BG,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
2025-06-15,3:00PM,Basketball,Eleven Sports 3 Portugal,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
2025-06-15,4:00PM,Basketball,AFN Sports 2,WNBA,Connecticut Sun,Chicago Sky
2025-06-15,6:00PM,Basketball,CBS Sports Network USA,WNBA,Washington Mystics,Atlanta Dream
2025-06-17,6:19PM,Basketball,DAZN 3 France,French LNB,Paris Basketball,AS Monaco Basket
2025-06-17,6:30PM,Basketball,Sport 1 LT,French LNB,Paris Basketball,AS Monaco Basket
2025-06-17,6:25PM,Basketball,Polsat Sport News,Italian Lega Basket,Basket Brescia Leonessa,Virtus Pallacanestro Bologna
2025-06-17,6:30PM,Basketball,Arena Sport 2 Premium RS,Italian Lega Basket,Basket Brescia Leonessa,Virtus Pallacanestro Bologna
2025-06-17,6:45PM,Basketball,Cosmote Sport 7 GR,Italian Lega Basket,Basket Brescia Leonessa,Virtus Pallacanestro Bologna
2025-06-17,3:50PM,Basketball,Arena Sport 2 Premium RS,Lithuanian LKL,BC Žalgiris,BC Lietuvos rytas
2025-06-17,12:30AM,Basketball,WatchESPN Australia,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Movistar Deportes,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,NBA League Pass,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Nova Sport 2 CZ,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:25AM,Basketball,ProSieben Maxx,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,RDS,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,S Sport TR,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:00AM,Basketball,Sky Sport NBA,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Sport 1 Hungary,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Sport TV 1,NBA,Oklahoma City Thunder,Indiana Pacers
2025-06-17,12:30AM,Basketball,Sportkanalen SWE,NBA,Oklahoma City Thunder,Indiana Pacers
